,album_group,album_type,artists,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri,external_urls.spotify
10,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/3tzrtZvTODgW7tDew5E7nb,3tzrtZvTODgW7tDew5E7nb,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ba071b7b2ffb03ccb472425d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ba071b7b2ffb03ccb472425d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ba071b7b2ffb03ccb472425d', 'width': 64}]",Yours Truly Arijit,12/9/16,day,20,album,spotify:album:3tzrtZvTODgW7tDew5E7nb,https://open.spotify.com/album/3tzrtZvTODgW7tDew5E7nb
11,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/252YtNVYFu7GlS6DQ3HUZ1,252YtNVYFu7GlS6DQ3HUZ1,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734f1228c4c015d349d1eacb5c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024f1228c4c015d349d1eacb5c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514f1228c4c015d349d1eacb5c', 'width': 64}]",Arijit Singh - Ultimate Love Songs,2/5/16,day,10,album,spotify:album:252YtNVYFu7GlS6DQ3HUZ1,https://open.spotify.com/album/252YtNVYFu7GlS6DQ3HUZ1
12,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/2GICr5p81pM3Z0T9BJFb1o,2GICr5p81pM3Z0T9BJFb1o,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735dffd2bb6e7a21343408f6d9', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025dffd2bb6e7a21343408f6d9', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515dffd2bb6e7a21343408f6d9', 'width': 64}]",Shudhu Tomari Jonyo,9/13/15,day,8,album,spotify:album:2GICr5p81pM3Z0T9BJFb1o,https://open.spotify.com/album/2GICr5p81pM3Z0T9BJFb1o
13,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/0RwZL6Vt80dGICYl7TbUxP,0RwZL6Vt80dGICYl7TbUxP,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737360d836e2f55add18d91477', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027360d836e2f55add18d91477', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517360d836e2f55add18d91477', 'width': 64}]",Khaad,10/23/14,day,6,album,spotify:album:0RwZL6Vt80dGICYl7TbUxP,https://open.spotify.com/album/0RwZL6Vt80dGICYl7TbUxP
14,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/2in4xZhjkZ8Kt2cifZ9z1o,2in4xZhjkZ8Kt2cifZ9z1o,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f3b5270207656a884d0a6f2d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f3b5270207656a884d0a6f2d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f3b5270207656a884d0a6f2d', 'width': 64}]",Golpo Holeo Sotti,6/10/14,day,7,album,spotify:album:2in4xZhjkZ8Kt2cifZ9z1o,https://open.spotify.com/album/2in4xZhjkZ8Kt2cifZ9z1o
15,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/3vDKxt5LedHOk5FDJHgJmA,3vDKxt5LedHOk5FDJHgJmA,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735ca50aa9b2019e6afdd96cce', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025ca50aa9b2019e6afdd96cce', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515ca50aa9b2019e6afdd96cce', 'width': 64}]",Chander Pahar,12/26/13,day,13,album,spotify:album:3vDKxt5LedHOk5FDJHgJmA,https://open.spotify.com/album/3vDKxt5LedHOk5FDJHgJmA
16,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/5qOJ4NgkZAljQyrdldTkbh,5qOJ4NgkZAljQyrdldTkbh,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b9d9fc445f12c11d0171fabd', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b9d9fc445f12c11d0171fabd', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b9d9fc445f12c11d0171fabd', 'width': 64}]",Goynar Baksho (Original Motion Picture Soundtrack),4/12/13,day,9,album,spotify:album:5qOJ4NgkZAljQyrdldTkbh,https://open.spotify.com/album/5qOJ4NgkZAljQyrdldTkbh
17,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",https://api.spotify.com/v1/albums/1pbdCW1f3bVwqRd2toq4kC,1pbdCW1f3bVwqRd2toq4kC,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738347f41fed7179133011a25d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e028347f41fed7179133011a25d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048518347f41fed7179133011a25d', 'width': 64}]",Bojhena Se Bojhena,12/12/12,day,6,album,spotify:album:1pbdCW1f3bVwqRd2toq4kC,https://open.spotify.com/album/1pbdCW1f3bVwqRd2toq4kC
18,single,single,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1UUAzUIJ1Axh6ozz5ZrJ7k'}, 'href': 'https://api.spotify.com/v1/artists/1UUAzUIJ1Axh6ozz5ZrJ7k', 'id': '1UUAzUIJ1Axh6ozz5ZrJ7k', 'name': 'S VIII', 'type': 'artist', 'uri': 'spotify:artist:1UUAzUIJ1Axh6ozz5ZrJ7k'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2nXQmURjKPR3PFEgHSdwNq'}, 'href': 'https://api.spotify.com/v1/artists/2nXQmURjKPR3PFEgHSdwNq', 'id': '2nXQmURjKPR3PFEgHSdwNq', 'name': 'Krishna Chaitanya', 'type': 'artist', 'uri': 'spotify:artist:2nXQmURjKPR3PFEgHSdwNq'}]",https://api.spotify.com/v1/albums/2OGNSBiHyvVCkkbR1q3ton,2OGNSBiHyvVCkkbR1q3ton,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733b10cc68a24b8f10274fe441', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e023b10cc68a24b8f10274fe441', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048513b10cc68a24b8f10274fe441', 'width': 64}]",Yedisthe Rarevaru - Future Bass Remix,3/8/23,day,1,album,spotify:album:2OGNSBiHyvVCkkbR1q3ton,https://open.spotify.com/album/2OGNSBiHyvVCkkbR1q3ton
19,single,single,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2fMqTqiTxUDlmcOEPaQSsx'}, 'href': 'https://api.spotify.com/v1/artists/2fMqTqiTxUDlmcOEPaQSsx', 'id': '2fMqTqiTxUDlmcOEPaQSsx', 'name': 'Amitabh Bhattacharya', 'type': 'artist', 'uri': 'spotify:artist:2fMqTqiTxUDlmcOEPaQSsx'}]",https://api.spotify.com/v1/albums/7kXEDaT5yy8IUT7Fmqs1i2,7kXEDaT5yy8IUT7Fmqs1i2,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732a733a9eeabca1a5fb50312b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022a733a9eeabca1a5fb50312b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512a733a9eeabca1a5fb50312b', 'width': 64}]","O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",3/4/23,day,1,album,spotify:album:7kXEDaT5yy8IUT7Fmqs1i2,https://open.spotify.com/album/7kXEDaT5yy8IUT7Fmqs1i2
