,Id,Name,Link,Release_date,Album
33,70PlWnT4tPA2WvfSAt3iWx,Bekhayali Remix,{'spotify': 'https://open.spotify.com/album/70PlWnT4tPA2WvfSAt3iWx'},2022-12-27,album
34,0ymQ2lAry40VGrgC5mV9Uy,"Mon Re Krishikaj Janona (From ""Manobjomin"")",{'spotify': 'https://open.spotify.com/album/0ymQ2lAry40VGrgC5mV9Uy'},2022-12-14,album
35,2RlnzSYh2dYOPK8zvzNk2Z,Makhmali - Lofi Mix,{'spotify': 'https://open.spotify.com/album/2RlnzSYh2dYOPK8zvzNk2Z'},2022-12-08,album
36,3VdmgKfAUkK2M5PiMwmQGl,"Jo Tum Saath Ho (From ""Salaam Venky"")",{'spotify': 'https://open.spotify.com/album/3VdmgKfAUkK2M5PiMwmQGl'},2022-12-06,album
37,19EAhlpgfiibWcRxvGNVc0,"Kesariya (Remix) [From ""Brahmastra""]",{'spotify': 'https://open.spotify.com/album/19EAhlpgfiibWcRxvGNVc0'},2022-12-06,album
38,791Nic2s2lcX8LtWjIeUh1,"Kaala Jaadu (From ""Freddy"")",{'spotify': 'https://open.spotify.com/album/791Nic2s2lcX8LtWjIeUh1'},2022-11-11,album
39,7fL3C5d4cFW7XLZHq4jPwX,"Apna Bana Le (From ""Bhediya"")",{'spotify': 'https://open.spotify.com/album/7fL3C5d4cFW7XLZHq4jPwX'},2022-11-05,album
40,6lDbtNiYMC8B1FcD7l77QC,Ae Dil Hai Mushkil (Lofi Flip),{'spotify': 'https://open.spotify.com/album/6lDbtNiYMC8B1FcD7l77QC'},2022-11-04,album
41,0q7bYBmJ27h6GW4m3dWPPC,Mera Pyar Tera Pyar (Lofi Flip),{'spotify': 'https://open.spotify.com/album/0q7bYBmJ27h6GW4m3dWPPC'},2022-10-27,album
42,30UZmRiMa6Jy5OpWKBooBX,"Thank God (From ""Thank God"")",{'spotify': 'https://open.spotify.com/album/30UZmRiMa6Jy5OpWKBooBX'},2022-10-22,album
43,71eEspGJM5UykbbRzIfUBL,"Yaar Ve (From ""Code Name Tiranga"")",{'spotify': 'https://open.spotify.com/album/71eEspGJM5UykbbRzIfUBL'},2022-10-21,album
44,3vzdDUv7uCCss1swFktPtc,Sun Bhi Le - Lofi,{'spotify': 'https://open.spotify.com/album/3vzdDUv7uCCss1swFktPtc'},2022-10-20,album
45,4PvtRZ1kw5xtqQ39EXk0Qq,Shorir Jure,{'spotify': 'https://open.spotify.com/album/4PvtRZ1kw5xtqQ39EXk0Qq'},2022-10-19,album
46,1b5dv6YOO0glGJLoCBv8Le,Kesariya (Lofi Flip),{'spotify': 'https://open.spotify.com/album/1b5dv6YOO0glGJLoCBv8Le'},2022-10-13,album
47,4mDNKf2XHGQbgFtShU6RaT,"Rasiya Reprise (From ""Brahmastra"")",{'spotify': 'https://open.spotify.com/album/4mDNKf2XHGQbgFtShU6RaT'},2022-10-07,album
48,73S8O640zcwF9clUYzVtke,"Kesariya (Dance Mix) [From ""Brahmastra""]",{'spotify': 'https://open.spotify.com/album/73S8O640zcwF9clUYzVtke'},2022-10-03,album
49,0OqGNoguOy3MODEVsGNyMK,Daayre (Lofi Flip),{'spotify': 'https://open.spotify.com/album/0OqGNoguOy3MODEVsGNyMK'},2022-09-29,album
